100 9
5 12
5 7 26
4 9 40
5 5 40
4 10 31
6 3 34
3 2 33
6 10 29
4 2 27
4 8 28
4 7 35
6 4 40
5 9 33
2 9 25
2 7 25
6 8 35
3 6 27
3 10 32
3 3 39
2 2 35
6 8 28
4 9 34
2 9 35
6 4 34
5 2 37
4 10 32
4 3 31
3 1 33
5 2 27
3 3 26
2 9 37
6 5 32
3 10 38
6 5 39
5 6 27
4 10 28
5 10 35
3 4 25
4 2 32
4 3 35
5 1 28
3 4 26
6 9 27
2 2 31
6 10 28
5 2 36
2 1 25
3 3 28
5 4 26
2 9 38
6 2 33
2 4 27
4 6 38
3 1 39
2 10 28
5 4 33
4 8 30
3 1 30
3 6 33
2 10 39
3 1 40
5 10 34
4 7 33
3 9 25
5 2 35
2 9 33
3 4 40
4 10 34
4 10 29
4 7 38
2 1 31
4 3 32
3 8 37
6 7 26
5 10 38
2 3 39
2 5 30
5 9 40
6 10 25
2 8 35
4 8 26
5 4 27
3 1 37
5 6 25
3 1 25
6 10 28
3 2 31
4 5 30
2 8 37
2 1 33
5 2 33
3 9 36
2 3 33
2 1 26
3 5 35
4 10 26
6 8 39
5 6 30
3 7 34
2 3 29
4 6 35
40 30 40 30 30 40 30 30 40 
